_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
0.269093442,-48.8098756,88,00 01 04.60,-48 48 35.5,5.71,0.26915958,-48.80985919,5.97,-17.92,-6.75,0.7,0.911, ,0.26909344,-48.8098756
0.333830211,-50.33737333,107,00 01 20.11,-50 20 14.6,5.53,0.33380226,-50.33739907,5.84,7.34,10.59,0.61,1.615, ,0.33383021,-50.33737333
0.398765542,-77.06572447,122,00 01 35.85,-77 03 55.1,4.78,0.39937928,-77.06529438,14.77,-56.52,-176.95,0.47,1.254, ,0.39876554,-77.06572447
0.404231233,61.2228008,124,00 01 37.02,+61 13 22.1,5.58,0.40424537,61.22280406,0.86,-2.8,-1.34,0.56,0.407, ,0.40423123,61.2228008
0.456035122,-3.027503823,145,00 01 49.44,-03 01 38.9,5.13,0.45598912,-3.02747891,7.98,18.9,-10.25,0.71,-0.128, ,0.45603512,-3.02750382
0.490079,-6.014072121,154,00 01 57.59,-06 00 50.3,4.37,0.48996506,-6.01397169,7.86,46.62,-41.32,0.94,1.631, ,0.490079,-6.01407212
0.542313214,27.08225603,171,00 02 09.65,+27 05 04.2,5.8,0.54018776,27.08448905,80.63,778.59,-918.72,3.03,0.69, ,0.54231321,27.08225603
0.583002776,-29.72041402,183,00 02 19.91,-29 43 13.6,5.04,0.58297574,-29.72044805,6.4,9.66,14,0.87,-0.15, ,0.58300278,-29.72041402
0.623759485,8.485463089,194,00 02 29.76,+08 29 08.1,5.7,0.62398938,8.48557854,26.53,-93.55,-47.5,0.77,0.315, ,0.62375948,8.48546309
0.650362407,66.09896618,207,00 02 36.08,+66 05 56.3,5.87,0.65034249,66.09896341,1.57,3.32,1.14,1.67,1.073, ,0.65036241,66.09896618
0.934957616,-17.33598771,301,00 03 44.37,-17 20 09.5,4.55,0.93488487,-17.33597002,14.31,28.57,-7.28,0.92,-0.047, ,0.93495762,-17.33598771
1.056926946,62.2876637,330,00 04 13.66,+62 17 15.6,5.9,1.05693212,62.2876646,0.89,-0.99,-0.37,0.58,0.274, ,1.05692695,62.2876637
1.082475175,-16.52903618,343,00 04 19.76,-16 31 44.0,5.78,1.08233885,-16.52888969,11.29,53.77,-60.27,0.92,1.084, ,1.08247517,-16.52903618
1.125493757,-10.50952331,355,00 04 30.12,-10 30 34.2,4.99,1.1255098,-10.50949443,2.03,-6.49,-11.88,0.93,1.619, ,1.12549376,-10.5095233
1.172117456,-71.43689145,377,00 04 41.25,-71 26 12.7,5.59,1.17188841,-71.43685835,5.7,30,-13.62,0.53,-0.1, ,1.17211746,-71.43689145
1.174921628,67.16644546,379,00 04 41.84,+67 09 59.0,5.68,1.17432297,67.16638761,10.3,95.58,23.8,0.58,1.051, ,1.17492163,67.16644546
1.275624668,61.31397012,418,00 05 06.13,+61 18 50.3,5.8,1.27555231,61.31396468,4.5,14.29,2.24,0.56,-0.067, ,1.27562467,61.31397012
1.33392048,-5.707618199,443,00 05 20.15,-05 42 28.2,4.61,1.33394073,-5.70783255,25.38,-8.29,88.19,1.05,1.029, ,1.33392048,-5.7076182
